Date,Basin,LAT,LON,AL,CP,EP,VMAX12,MSLP12,POT12,VMPI12,VGRAD0-6,VGRAD6-12,VMAX36,ONI,logVMAX12,logMSLP12,logPOT12,logVMAX36,logVMPI12
2012-06-01,EP,9.2,-92.3,0.0,0.0,1.0,40.0,1001.0,134.0,174.0,0.8333333333333334,0.8333333333333334,65.0,0.06,3.6888794541139363,6.90875477931522,4.897839799950911,4.174387269895637,5.159055299214529
2013-06-01,EP,11.8,-103.6,0.0,0.0,1.0,35.0,1003.0,119.0,154.0,0.0,0.8333333333333334,55.0,-0.34,3.5553480614894135,6.910750787961936,4.77912349311153,4.007333185232471,5.0369526024136295
2014-06-01,EP,15.2,-101.5,0.0,0.0,1.0,30.0,1006.0,120.0,150.0,0.0,0.0,55.0,0.23,3.4011973816621555,6.913737350659685,4.787491742782046,4.007333185232471,5.0106352940962555
2015-06-01,EP,12.0,-98.5,0.0,0.0,1.0,30.0,1003.0,133.0,163.0,0.0,0.0,50.0,1.25,3.4011973816621555,6.910750787961936,4.890349128221754,3.912023005428146,5.093750200806762
2016-07-01,EP,10.8,-106.8,0.0,0.0,1.0,40.0,1006.0,115.0,155.0,0.8333333333333334,1.6666666666666667,60.0,-0.31,3.6888794541139363,6.913737350659685,4.74493212836325,4.0943445622221,5.043425116919247
2017-06-01,EP,14.0,-94.7,0.0,0.0,1.0,30.0,1006.0,114.0,144.0,0.0,0.0,40.0,0.39,3.4011973816621555,6.913737350659685,4.736198448394496,3.6888794541139363,4.969813299576001
2018-06-01,EP,12.1,-100.5,0.0,0.0,1.0,45.0,1000.0,127.0,172.0,0.8333333333333334,1.6666666666666667,90.0,0.06,3.8066624897703196,6.907755278982137,4.844187086458591,4.499809670330265,5.147494476813453
2020-06-01,EP,10.0,-131.9,0.0,0.0,1.0,30.0,1007.0,77.0,107.0,0.8333333333333334,0.0,35.0,-0.23,3.4011973816621555,6.914730892718563,4.343805421853684,3.5553480614894135,4.672828834461906
2021-06-01,EP,11.6,-122.3,0.0,0.0,1.0,40.0,1005.0,71.0,111.0,0.8333333333333334,0.8333333333333334,45.0,-0.3,3.6888794541139363,6.912742820493176,4.2626798770413155,3.8066624897703196,4.709530201312334
2022-06-01,EP,10.7,-90.0,0.0,0.0,1.0,35.0,1004.0,118.0,153.0,0.8333333333333334,0.0,35.0,-0.78,3.5553480614894135,6.911747300251674,4.770684624465665,3.5553480614894135,5.030437921392435
1988-07-01,EP,14.6,-112.5,0.0,0.0,1.0,35.0,1005.0,93.0,128.0,0.8333333333333334,0.8333333333333334,45.0,-1.3,3.5553480614894135,6.912742820493176,4.532599493153256,3.8066624897703196,4.852030263919617
1990-06-01,EP,13.5,-100.0,0.0,0.0,1.0,30.0,1008.0,129.0,159.0,0.0,0.8333333333333334,50.0,0.31,3.4011973816621555,6.915723448631314,4.859812404361672,3.912023005428146,5.0689042022202315
1991-06-01,EP,12.6,-101.1,0.0,0.0,1.0,25.0,1005.0,136.0,161.0,0.0,0.0,35.0,0.64,3.2188758248682006,6.912742820493176,4.912654885736052,3.5553480614894135,5.081404364984463
1992-06-01,EP,11.5,-91.5,0.0,0.0,1.0,30.0,1006.0,124.0,154.0,0.0,0.8333333333333334,40.0,0.73,3.4011973816621555,6.913737350659685,4.820281565605037,3.6888794541139363,5.0369526024136295
1993-07-01,EP,12.9,-97.7,0.0,0.0,1.0,35.0,1005.0,109.0,144.0,0.8333333333333334,0.8333333333333334,70.0,0.32,3.5553480614894135,6.912742820493176,4.6913478822291435,4.248495242049359,4.969813299576001
1994-07-01,EP,12.5,-121.3,0.0,0.0,1.0,35.0,1005.0,112.0,147.0,0.8333333333333334,0.8333333333333334,55.0,0.44,3.5553480614894135,6.912742820493176,4.718498871295094,4.007333185232471,4.990432586778736
1995-07-01,EP,17.0,-108.1,0.0,0.0,1.0,30.0,1006.0,115.0,145.0,0.8333333333333334,0.0,40.0,-0.24,3.4011973816621555,6.913737350659685,4.74493212836325,3.6888794541139363,4.976733742420574
1996-06-01,EP,12.7,-94.4,0.0,0.0,1.0,25.0,1009.0,141.0,166.0,0.0,0.0,35.0,-0.3,3.2188758248682006,6.9167150203536085,4.948759890378168,3.5553480614894135,5.111987788356544
1997-06-01,EP,15.6,-107.8,0.0,0.0,1.0,35.0,1002.0,95.0,130.0,0.8333333333333334,0.8333333333333334,45.0,1.22,3.5553480614894135,6.90975328164481,4.553876891600541,3.8066624897703196,4.867534450455582
1998-07-01,EP,16.9,-104.6,0.0,0.0,1.0,40.0,1002.0,91.0,131.0,1.6666666666666667,0.0,45.0,-0.78,3.6888794541139363,6.90975328164481,4.51085950651685,3.8066624897703196,4.875197323201151
2001-07-01,EP,13.9,-117.4,0.0,0.0,1.0,30.0,1007.0,103.0,133.0,0.0,0.0,35.0,-0.08,3.4011973816621555,6.914730892718563,4.634728988229636,3.5553480614894135,4.890349128221754
